variable	form	section_header	branch
cpt3_detect_class	neuropsych_tests	NA	cpt3
cpt3_omis_ss	neuropsych_tests	NA	cpt3
cpt3_omis_class	neuropsych_tests	NA	cpt3
cpt3_comis_ss	neuropsych_tests	NA	cpt3
cpt3_comis_class	neuropsych_tests	NA	cpt3
cpt3_per_ss	neuropsych_tests	NA	cpt3
cpt3_per_class	neuropsych_tests	NA	cpt3
cpt3_hrt_ss	neuropsych_tests	NA	cpt3
cpt3_hrt_class	neuropsych_tests	NA	cpt3
cpt3_hrtsd_ss	neuropsych_tests	NA	cpt3
cpt3_hrtsd_class	neuropsych_tests	NA	cpt3
cpt3_var_ss	neuropsych_tests	NA	cpt3
cpt3_var_class	neuropsych_tests	NA	cpt3
cpt3_hrtbc_ss	neuropsych_tests	NA	cpt3
cpt3_hrtbc_class	neuropsych_tests	NA	cpt3
cpt3_hrtisi_ss	neuropsych_tests	NA	cpt3
cpt3_hrtisi_class	neuropsych_tests	NA	cpt3
trails_ver	neuropsych_tests	NA	trails
trailsa_raw	neuropsych_tests	NA	trails
trailsa_ss	neuropsych_tests	NA	trails
trailsa_err	neuropsych_tests	NA	trails
trailsb_raw	neuropsych_tests	NA	trails
trailsb_ss	neuropsych_tests	NA	trails
trailsb_err	neuropsych_tests	NA	trails
wcst_ver	neuropsych_tests	NA	wcst
wcst_cat_raw	neuropsych_tests	NA	wcst
wcst_cat_perc	neuropsych_tests	NA	wcst
wcst_fms_raw	neuropsych_tests	NA	wcst
wcst_fms_perc	neuropsych_tests	NA	wcst
wcst_err_raw	neuropsych_tests	NA	wcst
wcst_err_ss	neuropsych_tests	NA	wcst
wcst_per_raw	neuropsych_tests	NA	wcst
wcst_per_ss	neuropsych_tests	NA	wcst
letfluency_ver	neuropsych_tests	NA	letterfluency
dkefsletterflue_raw	neuropsych_tests	NA	letterfluency
dkefsletterflue_ss	neuropsych_tests	NA	letterfluency
dkefsletterlfue_per	neuropsych_tests	NA	letterfluency
dkefsleterflue_int	neuropsych_tests	NA	letterfluency
letfluency_raw	neuropsych_tests	NA	letterfluency
letfluency_ss	neuropsych_tests	NA	letterfluency
letfluency_per	neuropsych_tests	NA	letterfluency
letfluency_int	neuropsych_tests	NA	letterfluency
catfluency_ver	neuropsych_tests	NA	letterfluency
dkefscatflu_raw	neuropsych_tests	NA	letterfluency
dkefscatflu_ss	neuropsych_tests	NA	letterfluency
dkefscatflu_per	neuropsych_tests	NA	letterfluency
dkefscatflu_int	neuropsych_tests	NA	letterfluency
catfluency_raw	neuropsych_tests	NA	letterfluency
catfluency_ss	neuropsych_tests	NA	letterfluency
catfluency_per	neuropsych_tests	NA	letterfluency
catfluency_int	neuropsych_tests	NA	letterfluency
dkefs_switch_vers	neuropsych_tests	NA	letterfluency
dkefsswitchfluency_raw	neuropsych_tests	NA	letterfluency
dkefsswitchfluency_ss	neuropsych_tests	NA	letterfluency
dkefsswitchaccuracy_raw	neuropsych_tests	NA	letterfluency
dkefsswitchaccuracy_ss	neuropsych_tests	NA	letterfluency
dkefstrails_vis_scan_raw	neuropsych_tests	NA	letterfluency
dkefstrails_vis_scan_ss	neuropsych_tests	NA	letterfluency
dkefstrails_num_seq_raw	neuropsych_tests	NA	letterfluency
dkefstrails_num_seq_ss	neuropsych_tests	NA	letterfluency
dkefstrails_let_seq_raw	neuropsych_tests	NA	letterfluency
dkefstrails_let_seq_ss	neuropsych_tests	NA	letterfluency
dkefstrails_switch_raw	neuropsych_tests	NA	letterfluency
dkefstrails_switch_ss	neuropsych_tests	NA	letterfluency
dkefstrails_errors_raw	neuropsych_tests	NA	letterfluency
dkefstrails_errors_ss	neuropsych_tests	NA	letterfluency
dkefstrails_mot_speed_raw	neuropsych_tests	NA	letterfluency
dkefstrails_mot_speed_ss	neuropsych_tests	NA	letterfluency
dkefstower_ach_score_raw	neuropsych_tests	NA	letterfluency
dkefstower_ach_score_ss	neuropsych_tests	NA	letterfluency
dkefstower_mean1move_raw	neuropsych_tests	NA	letterfluency
dkefstower_mean1move_ss	neuropsych_tests	NA	letterfluency
dkefstower_timepermove_raw	neuropsych_tests	NA	letterfluency
dkefstower_timepermove_ss	neuropsych_tests	NA	letterfluency
dkefstower_move_acc_raw	neuropsych_tests	NA	letterfluency
dkefstower_move_acc_ss	neuropsych_tests	NA	letterfluency
dkefstower_rule_viol_raw	neuropsych_tests	NA	letterfluency
dkefstower_rule_viol_ss	neuropsych_tests	NA	letterfluency
dkefstower_tot_rvs_raw	neuropsych_tests	NA	letterfluency
dkefstower_tot_rvs_perc	neuropsych_tests	NA	letterfluency
book_cat_errors_raw	neuropsych_tests	NA	book
book_cat_errors_ss	neuropsych_tests	NA	book
pegs_dh_trial1_raw	neuropsych_tests	NA	pegs
pegs_dh_trial1_ss	neuropsych_tests	NA	pegs
pegs_ndh_trial1_raw	neuropsych_tests	NA	pegs
pegs_ndh_trial1_ss	neuropsych_tests	NA	pegs
gripstrength_dh_raw	neuropsych_tests	NA	gripstrength
gripstrength_dh_ss	neuropsych_tests	NA	gripstrength
gripstrength_ndh_raw	neuropsych_tests	NA	gripstrength
gripstrength_ndh_ss	neuropsych_tests	NA	gripstrength
gds_raw	neuropsych_tests	NA	gds
gds_class	neuropsych_tests	NA	gds
bdi_raw	neuropsych_tests	NA	bdi
bdi_class	neuropsych_tests	NA	bdi
depression_label	neuropsych_tests	NA	bdi
adfacs_iadlperc	neuropsych_tests	NA	adfacs
adfacs_adlperc	neuropsych_tests	NA	adfacs
adfacs_tot	neuropsych_tests	NA	adfacs
maq_physio_panic	neuropsych_tests	NA	maq
maq_soc_pho	neuropsych_tests	NA	maq
maq_worry_fear	neuropsych_tests	NA	maq
maq_neg_aff	neuropsych_tests	NA	maq
maq_tot	neuropsych_tests	NA	maq
bai_raw	neuropsych_tests	NA	bai
bai_ss	neuropsych_tests	NA	bai
bai_class	neuropsych_tests	NA	bai
