variable
Filter1
lastname
firstname
Include_JakBondi
JakBondi_MCI_type
JakBondi_MCI_AmnesticvsNonamnestic
JakBondi_Domains
PetersenMCItype
PetersenMCI_Domains
Petersen_AmnesticvsNonamnestic
MRN
DOB
datadoublecheck
notes
Amnestic
PetersenAmnestic
Domains
PetersenDomains
MCItype
frontosubcort_v_amnestic
frontosubcort_v_amnestic_anc
original_frontosub_v_am_anc
NeurologyVisit_Date_BL
Neurology_Etiology_BL
NeurologyVisit_Date_1
Neurology_Etiology_1
NpsyDate_1
NP_provider_1
etiology_1_NPsy
etiology_NPsy_Explained
Etiology_1_Neurology
etiology_1_Neurology_Explained
neurologyvisitdate
neurology_dx_old
etiology_anc
neurobehav_1
neurobehav_anc
data_entry_ambiguities
ed_yrs
ed_level
ed_qual
sex
race
hand
SES
employ_1
occup_1
occup_categories
occup_recat_homemaker
marital_1
lang_first
lang_fluency
lang_sec
cog_onset_1
cog_course_1
cog_mem_1
cog_attn_1
cog_wfp_1
cog_para_1
cog_proc_1
cog_probsol_1
cog_judg_1
cog_behav_1
cog_pers_1
adls_1
iadls_1
finance_1
mail_1
cook_1
shop_1
med_1
drive_1
appliance_1
insight_1
falls_1
diabetes_1
A1C_1
hypertension_1
BPsystolic_1
BPdiastolic_1
cva_1
cholesterol_1
cad_1
VascularRisksPresent
VascularRisks_Number
TSH_1
B12_1
tbi_1
tumor_1
other_neurol_1
other_neurol_prob_1
neurologytx_1
dxdiscrepancybetweenproviders
famhx_dem_1
famhx_rel_1
famhx_demtype_1
famhx_demtype_explained_1
famhx_onset_1
famhx_onset_explained_1
psydx_1
traumahx_1
premorbidpsych_1
premorbidpsych_description_1
rx_mem_1
rm_memname_1
rx_antidep_1
rx_anx_1
rx_antipsy_1
mood_curr_1
therapy_1
priortx_1
suicide_1
psychosis_1
psychosistype_1
sleep_1
OSAtx_1
sleep_med_1
appetite_1
etoh_abuse_1
etoh_drinks_1
tobacco_1
drug_1
drug_type_1
drug_name_1
